text,emotion
me despidieron del trabajo,triste
me despidieron hoy,triste
me echaron del trabajo,triste
perdi el trabajo,triste
me quedé sin trabajo,triste
me quitaron el trabajo,triste
me robaron,enojo
me robaron hoy,enojo
me robaron el celular,enojo
me robaron la moto,enojo
me atracaron,enojo
me asaltaron,enojo
hoy me pagaron,feliz
que quiere usted,enojo
no quiero que me hables mas,enojo
no puedo seguir por esa calle vacia,miedo
no quiero nada mas contigo,enojo
voy a dormir toda la noche,feliz
tengo que madrugar,triste
no hice la tarea,miedo
se murio mi perro esta mañana,triste
mañana presento y no he empezado nada,miedo
mañana tengo examen y no he estudiado,miedo
tengo que entregar algo mañana y no empece,miedo
mañana es la presentacion y no estoy listo,miedo
llevo dias sin ganas de nada,triste
no tengo ganas de nada ultimamente,triste
nada me da ganas ultimamente,triste
no pude comer hoy,triste
me regañaron en el trabajo,triste
mi novia me engañó con una mujer,enojo
me compre una moto,feliz
si me cai en el trabajo,triste
te deseo,feliz
que perro tan feo,enojo
que tipo tan feo,enojo
que mal tipo,enojo
eso estuvo muy feo,enojo
no me gusto tu trabajo,enojo
