text,emotion
me dieron acceso a la oportunidad que queria,feliz
hoy eso me pone muy furioso parce,enojo
vi algo que me dejo muy intranquilo la verdad,miedo
no te soporto mas sin excusas,enojo
ultimamente vi que estaba en linea pero no me respondio y no puedo evitarlo,triste
sinceramente me aterra la idea de perder todo y eso me preocupa mucho,miedo
me asusta mucho no saber que hacer,miedo
ultimamente me siento vacio desde hace dias,triste
hoy me pelee con mi mejor amigo y me duele mucho la verdad,triste
para serte honesto tengo miedo de lo que piensen de mi y necesito que alguien me entienda,miedo
ultimamente todo esta fluyendo muy bien ultimamente,feliz
tengo miedo de llegar a cierta edad sin haber logrado nada y ya,miedo
oye mi familia esta bien,feliz
parce no alcance el cupo en la universidad publica y ya,triste
es que no se si voy a poder con lo que viene y ya,miedo
hicimos una reunioncita y quedo muy buena y nadie lo sabe,feliz
la verdad es que tengo miedo de que se den cuenta que no entiendo y me cuesta mucho,miedo
desde ayer me siento horrible por todo lo que paso,triste
mira me dieron la beca y me tiene mal,feliz
no te miento me ofrecieron un mejor cargo de verdad,feliz
sinceramente me cansa tu falta de madurez y punto,enojo
mi familia esta bien y no puedo evitarlo,feliz
es que me echaron sin explicacion de verdad,triste
realmente quiero estar solo ultimamente,triste
me pusieron a hacer el trabajo de todos parce,enojo
estoy lleno de felicidad ahora mismo y es lo mejor que me paso,feliz
parce se aprovecharon de la buena fe mia y no se que hacer,enojo
la verdad me siento furioso,enojo
definitivamente hoy fue maravilloso todo el tiempo,feliz
ultimamente tengo miedo de ver lo que me respondieron de verdad,miedo
me siento muy bien y muy contento de verdad,feliz
hoy me pusieron a hacer el trabajo de todos la verdad,enojo
la verdad termino mi carrera y es agotador,feliz
estoy con el animo muy por el piso y eso me duele,triste
es que me mandaron un mensaje muy agresivo,enojo
la verdad me siento incomodo con esto ultimamente,miedo
me siento muy bien conmigo mismo todo el tiempo,feliz
ahora mismo tengo miedo de que sea algo grave y me afecta mucho,miedo
hoy no se si lo que estoy haciendo es lo correcto y no puedo evitarlo,miedo
en serio me da pena hablar en publico y manana me toca y eso me duele,miedo
la verdad me encontre plata en un bolsillo que no sabia y me afecta,feliz
la verdad no se que va a pasar esta semana,miedo
la verdad no puedo creer lo que hicieron y necesito que alguien me entienda,enojo
mira lo que paso me mandaron buenas noticias por whatsapp y me tiene agotado,feliz
hermano mi familia esta pasando un momento muy dificil y no puedo evitarlo,triste
oye el profesor me humillo frente a todos y no lo digo seguido,triste
sinceramente estoy muy emocionado desde hace dias,feliz
en este momento todo esta mejorando en este momento,feliz
ahora mismo me costo mucho levantarme hoy de verdad,triste
fijate que me estan ocultando algo y eso me pone nervioso,miedo
mira lo que paso me copiaron el trabajo y lo publicaron como propio y me tiene agotado,enojo
mira mi abuela ya no esta,triste
sinceramente tengo ansiedad otra vez,miedo
hoy no supe si era una broma o algo serio y nadie lo entiende,triste
hoy si esto no funciona no se que voy a hacer sinceramente,miedo
te juro que vi que me sacaron de un grupo y no dije nada y me afecta,triste
sinceramente todo me hace enojar,enojo
bro dijeron mentiras sobre mi en redes de verdad,enojo
me tiene muy cansado esta gente,enojo
la verdad estoy emocionado con todo lo que paso,feliz
realmente odio esta situacion por todo lo que paso,enojo
la verdad mi abuela ya no esta y ya,triste
para serte honesto no es la primera vez y eso me tiene agotado y nadie lo entiende,enojo
sinceramente siento que cargue solo con todo y no puedo evitarlo,triste
sinceramente por fin me salio el pasaporte y no es facil,feliz
la verdad me respondieron con mala cara sin razon,enojo
ya no tengo energia para nada de lo que antes me gustaba,triste
hoy me ignoraron durante horas de verdad,enojo
ultimamente me fallaron cuando mas los necesitaba todo el tiempo,triste
hoy se fue mi gato hoy y nadie lo sabe,triste
hoy tengo miedo de que me rechacen si digo lo que pienso y no es facil,miedo
hermano me llamaron de la empresa y no dijeron para que,miedo
es que me dicen que exagero cuando digo como me siento y me cuesta aceptarlo,enojo
es que me asusta mucho la situacion actual,miedo
ultimamente no se que va a pasar por todo lo que paso,miedo
me prometieron algo y no lo cumplieron,enojo
me da pena decirlo pero me da ansiedad abrir ese chat y quisiera que alguien me ayudara,miedo
no me merecia este trato y no lo puedo ocultar,enojo
oye hicieron como si yo no existiera en la reunion pero necesitaba decirlo,enojo
en serio estoy muy decaido y no quiero hablar y quisiera que no fuera así,triste
lo que pasa es que alguien me entendio sin que yo explicara mucho de verdad,feliz
ahora mismo tengo miedo de que no me entiendan y no puedo evitarlo,miedo
en serio me siento re bien parce pero bueno,feliz
