text,emotion
me da pena decirlo pero cambiaron las reglas sin avisarme y no lo digo seguido,enojo
es que me trataron diferente a los demas y me tiene mal,enojo
realmente estoy muy enojado y eso empeora todo,enojo
te juro que no voy a seguir tolerando esto,enojo
me tienen hasta la coronilla y no es facil,enojo
es que estoy muy nervioso y asustado por todo,miedo
te juro que hoy no tuve que madrugar y lo disfrute bro,feliz
ultimamente tengo un presentimiento muy malo y me afecta mucho,miedo
la verdad siento que finjo estar bien tan seguido que ya ni se y me afecta,triste
no te miento me tiene muy cansado esta gente la verdad,enojo
en serio me asusta mucho lo que esta pasando en el barrio parce,miedo
es que me dijeron que me quieren y me tiene mal,feliz
ultimamente ya no quiero esforzarme de verdad,triste
hoy me canse de ser el que siempre aguanta,triste
es que me tiene muy bravo la falta de respeto,enojo
te cuento que hicimos una reunioncita y quedo muy buena,feliz
te juro que me encontre plata en un bolsillo que no sabia,feliz
me asaltaron,enojo
oye hoy amaneci con mucha energia y ya,feliz
me gradué hoy,feliz
tengo miedo de que todo se derrumbe y eso me preocupa mucho,miedo
estoy que no me la creo pero bueno,feliz
no te miento todo me pesa demasiado y ya,triste
te digo que me duele mucho saber que ya no esta y no se como seguir,triste
la verdad es que no entiendo nada y me da verguenza preguntar y me cuesta mucho,triste
la verdad odio esta situacion de verdad,enojo
para serte honesto me da miedo pedir ayuda y es agotador,miedo
publicaron algo mio sin pedirme permiso pero bueno,enojo
hoy se fue mi perro hoy la verdad,triste
ultimamente alguien me entendio sin que yo explicara mucho y no lo digo seguido,feliz
hoy todo fluyo bien y es agotador,feliz
es que tengo miedo de que sea algo grave y me tiene mal,miedo
la verdad pase el dia en cama y ya,triste
sinceramente no quiero salir solo y no se que hacer,miedo
oye consegui apartamento en arriendo bien precio,feliz
desde hace dias siento que el miedo no me deja avanzar la verdad,miedo
sabes que estoy muy contento con los avances sin duda,feliz
ahora mismo me siento realizado y no puedo evitarlo,feliz
mira no logre lo que esperaba y me afecta mucho,triste
en serio no me puedo quitar esa preocupacion de encima y ya,miedo
ahora mismo me trataron muy mal sin razon sinceramente,enojo
para serte honesto todo tiene sentido ahora la verdad,feliz
mira me tiene muy intranquilo todo esto la verdad,miedo
hoy fue un dia muy chévere pero bueno,feliz
la verdad me dijeron que si y despues que no y no puedo evitarlo,enojo
no tolero mas esta situacion en serio,enojo
no te miento me da ansiedad cuando hay silencio en la conversacion,miedo
no te miento me saca de quicio todo esto y me tiene mal,enojo
hoy me hace muy bien sentirme asi de verdad,feliz
la verdad es que no es la primera vez y eso me tiene agotado pero ya no puedo mas,enojo
no se subi una foto y me arrepenti de haberla subido,triste
sinceramente siento que estoy de mas,triste
ahora mismo me hablaron muy mal y no puedo evitarlo,enojo
fijate que no me toman en serio por mi edad y me cuesta aceptarlo,enojo
no fui invitado,triste
parce me tiene muy apagado esta situacion y nadie lo sabe,triste
en serio el transporte salio tardisimo y llegue tarde por eso y ya,enojo
te digo que que buena suerte la mia hoy,feliz
